node_id,unit_code,geometry,tags
n3396621,euon,{"type":"Point","coordinates":[-122.02665,37.82645]},{"name": "Eugene O'Neill National Historic Site", "tourism": "information", "information": "office", "nps:unit_code": "euon", "nps:source_system": "Places Submit"}
n3396622,bicy,{"type":"Point","coordinates":[-81.325929,25.900808]},{"name": "Welcome Center", "tourism": "information", "information": "office", "nps:unit_code": "bicy", "nps:source_system": "Places Submit"}
n5352,bicy,{"type":"Point","coordinates":[-81.032581,25.857293]},{"name": "Oasis Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "bicy", "nps:source_system": "Places Submit"}
n3396850,lame,{"type":"Point","coordinates":[-114.796808,36.009929]},{"name": "Lake Mead Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "lame", "nps:source_system": "Places Submit"}
n3398015,obed,{"type":"Point","coordinates":[-84.662876,36.069637]},{"name": "Rock Creek Campground", "tourism": "camp_site", "nps:unit_code": "obed", "nps:source_system": "Places Submit"}
n7780,vama,{"type":"Point","coordinates":[-73.941786,41.79784]},{"name": "Pavilion Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "vama", "nps:source_system": "Places Submit"}
n3398365,seki,{"type":"Point","coordinates":[-118.776348,36.318721]},{"name": "South Fork Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3590952,crla,{"type":"Point","coordinates":[-122.134302,42.896871]},{"name": "Steel Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "crla", "nps:source_system": "Places Submit"}
n3852,crla,{"type":"Point","coordinates":[-122.143512,42.911166]},{"name": "Rim Village Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "crla", "nps:source_system": "Places Submit"}
n2820,crla,{"type":"Point","coordinates":[-122.165603,42.867185]},{"name": "Mazama Campground", "tourism": "camp_site", "nps:unit_code": "crla", "nps:source_system": "Places Submit"}
n3190,noca,{"type":"Point","coordinates":[-121.266779,48.666255]},{"name": "North Cascades Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3591671,noca,{"type":"Point","coordinates":[-122.227632,48.51089]},{"name": "North Cascades National Park Complex Headquarters and Visitor Information", "tourism": "information", "information": "office", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n1801,noca,{"type":"Point","coordinates":[-120.656394,48.308364]},{"name": "Golden West Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3592004,noca,{"type":"Point","coordinates":[-121.260974,48.671161]},{"name": "Newhalem Creek Campground", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3592005,chis,{"type":"Point","coordinates":[-119.693609,34.40409]},{"name": "Outdoors Santa Barbara Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3592618,noca,{"type":"Point","coordinates":[-121.264609,48.673659]},{"name": "Goodell Creek Campground", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3594424,noca,{"type":"Point","coordinates":[-121.271451,48.68567]},{"name": "Upper Goodell Creek Group Campground", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3594426,seki,{"type":"Point","coordinates":[-118.612132,36.451389]},{"name": "Cold Springs Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3594427,noca,{"type":"Point","coordinates":[-121.14973,48.7171]},{"name": "Gorge Lake Campground", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3594430,noca,{"type":"Point","coordinates":[-121.269686,48.676]},{"name": "Lower Goodell Creek Group Campgrounds", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n891,chis,{"type":"Point","coordinates":[-119.266618,34.248229]},{"name": "Channel Islands Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3595199,chat,{"type":"Point","coordinates":[-84.32458,33.98717]},{"name": "Island Ford Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "chat", "nps:source_system": "Places Submit"}
n5705,chat,{"type":"Point","coordinates":[-84.324628,33.987251]},{"name": "Island Ford Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "chat", "nps:source_system": "Places Submit"}
n5142,isro,{"type":"Point","coordinates":[-89.157143,47.911805]},{"name": "Windigo Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "isro", "nps:source_system": "Places Submit"}
n3595309,isro,{"type":"Point","coordinates":[-88.563704,47.122947]},{"name": "Houghton Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "isro", "nps:source_system": "Places Submit"}
n3595310,isro,{"type":"Point","coordinates":[-88.563677,47.122936]},{"name": "Houghton Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "isro", "nps:source_system": "Places Submit"}
n3899,isro,{"type":"Point","coordinates":[-88.486263,48.145945]},{"name": "Rock Harbor Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "isro", "nps:source_system": "Places Submit"}
n3596180,noca,{"type":"Point","coordinates":[-121.096115,48.689749]},{"name": "Colonial Creek Campground", "tourism": "camp_site", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3363770,chis,{"type":"Point","coordinates":[-119.367791,34.01421]},{"name": "Anacapa Island Campground", "tourism": "camp_site", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3363798,chis,{"type":"Point","coordinates":[-119.660632,34.01093]},{"name": "Santa Cruz Island Del Norte Backcountry Campground", "tourism": "camp_site", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3363850,chis,{"type":"Point","coordinates":[-119.562675,34.048855]},{"name": "Santa Cruz Island Scorpion Ranch Campground", "tourism": "camp_site", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3623863,chis,{"type":"Point","coordinates":[-120.048069,33.991009]},{"name": "Santa Rosa Island Campground", "tourism": "camp_site", "nps:unit_code": "chis", "nps:source_system": "Places Submit"}
n3623867,miss,{"type":"Point","coordinates":[-93.098509,44.942787]},{"name": "Mississippi River Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "miss", "nps:source_system": "Places Submit"}
n3638547,seki,{"type":"Point","coordinates":[-118.669537,36.465196]},{"name": "Cold Springs Campgorund", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3591702,noca,{"type":"Point","coordinates":[-121.448144,48.538439]},{"name": "Wilderness Information Center", "tourism": "information", "information": "office", "nps:unit_code": "noca", "nps:source_system": "Places Submit"}
n3639231,olym,{"type":"Point","coordinates":[-124.603152,47.918143]},{"name": "Mora Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3639232,olym,{"type":"Point","coordinates":[-123.425699,48.099564]},{"name": "Olympic National Park Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3639233,olym,{"type":"Point","coordinates":[-124.369698,47.602864]},{"name": "Kalaloch Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3639234,olym,{"type":"Point","coordinates":[-123.820915,47.504963]},{"name": "Quinault Rain Forest Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3639235,olym,{"type":"Point","coordinates":[-124.668917,48.153833]},{"name": "Ozette Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3639236,olym,{"type":"Point","coordinates":[-123.78857,48.057861]},{"name": "Storm King Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3661085,olym,{"type":"Point","coordinates":[-123.864219,47.972029]},{"name": "Eagle Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3661133,olym,{"type":"Point","coordinates":[-123.590103,48.016597]},{"name": "Elwha Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "olym", "nps:source_system": "Places Submit"}
n3661134,seki,{"type":"Point","coordinates":[-118.800681,36.516474]},{"name": "Potwisha Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3661135,seki,{"type":"Point","coordinates":[-118.763811,36.522984]},{"name": "Buckeye Flat Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3661136,havo,{"type":"Point","coordinates":[-155.257072,19.429768]},{"name": "Kīlauea Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "havo", "nps:source_system": "Places Submit"}
n2258,havo,{"type":"Point","coordinates":[-155.288937,19.419933]},{"name": "Jaggar Museum", "tourism": "information", "information": "office", "nps:unit_code": "havo", "nps:source_system": "Places Submit"}
n3661137,wica,{"type":"Point","coordinates":[-103.489237,43.565342]},{"name": "Elk Mountain Campground", "tourism": "camp_site", "nps:unit_code": "wica", "nps:source_system": "Places Submit"}
n3661197,acad,{"type":"Point","coordinates":[-68.366775,44.426848]},{"name": "Thompson Island Information Center", "tourism": "information", "information": "office", "nps:unit_code": "acad", "nps:source_system": "Places Submit"}
n3661198,timu,{"type":"Point","coordinates":[-81.497612,30.385944]},{"name": "Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "timu", "nps:source_system": "Places Submit"}
n7784,rowi,{"type":"Point","coordinates":[-71.410722,41.831328]},{"name": "Roger Williams Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "rowi", "nps:source_system": "Places Submit"}
n3898749,seki,{"type":"Point","coordinates":[-118.729366,36.604745]},{"name": "Lodgepole Campground", "tourism": "camp_site", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3898750,seki,{"type":"Point","coordinates":[-118.825448,36.491012]},{"name": "Foothills Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3898751,seki,{"type":"Point","coordinates":[-118.772748,36.564698]},{"name": "Giant Forest Museum", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n1855,seki,{"type":"Point","coordinates":[-118.963399,36.739927]},{"name": "Grant Grove Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n2618,seki,{"type":"Point","coordinates":[-118.731973,36.604241]},{"name": "Lodgepole Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n867,seki,{"type":"Point","coordinates":[-118.671044,36.79099]},{"name": "Cedar Grove Visitor Center", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
n3898752,seki,{"type":"Point","coordinates":[-118.610786,36.452835]},{"name": "Mineral King Ranger Station", "tourism": "information", "information": "office", "nps:unit_code": "seki", "nps:source_system": "Places Submit"}
